OneView IEC 61400-25-2 Edition 2,NODE,TAGName,Description,SI Unit,Type,DataType,CollectorType
WGEN1.TotWh_Mly_Sum,WGEN1.,TotWh_Mly_Sum,Total (net) active energy production i.e. produced-consumed energy G1,Wh,Summation,Double,Monthly tag
WGEN2.DmdVArh,WGEN2.,DmdVArh,Reactive energy consumed by generator G2,VArh,Total Counter,Double,10 minute tag
WGEN2.DmdVArh_10m_End,WGEN2.,DmdVArh_10m_End,Reactive energy consumed by generator G2,VArh,Total Counter,Double,10 minute tag
WGEN2.DmdVArh_10m_Sum,WGEN2.,DmdVArh_10m_Sum,Reactive energy consumed by generator G2,VArh,Summation,Double,10 minute tag
WGEN2.DmdVArh_Mly_Sum,WGEN2.,DmdVArh_Mly_Sum,Reactive energy consumed by generator G2,VArh,Summation,Double,Monthly tag
WGEN2.DmdWh,WGEN2.,DmdWh,Active (real) energy consumed by generator G2,Wh,Total Counter,Double,Live Value
WGEN2.DmdWh_10m_End,WGEN2.,DmdWh_10m_End,Active (real) energy consumed by generator G2,Wh,Total Counter,Double,10 minute tag
WGEN2.DmdWh_10m_Sum,WGEN2.,DmdWh_10m_Sum,Active (real) energy consumed by generator G2,Wh,Summation,Double,10 minute tag
WGEN2.DmdWh_Mly_Sum,WGEN2.,DmdWh_Mly_Sum,Active (real) energy consumed by generator G2,Wh,Summation,Double,Monthly tag
WGEN2.OpTms,WGEN2.,OpTms,"Time generator g2 production time i.e. time generator g2 has been producing power, or ready but low wind, used with real availability",seconds,Total Counter,Long,Live Value
WGEN2.OpTms_10m_End,WGEN2.,OpTms_10m_End,Time with generator g2 on grid,seconds,Total Counter,Long,10 minute tag
WGEN2.OpTms_10m_Sum,WGEN2.,OpTms_10m_Sum,Time with generator g2 on grid in each 10 minute period i.e. 0-600 seconds,seconds,Summation,Long,10 minute tag
WGEN2.OpTms_Dly_Sum,WGEN2.,OpTms_Dly_Sum,Time with generator g2 on grid in each Daily period i.e. 0-86400 seconds,seconds,Summation,Long,Daily tag
WGEN2.OpTms_Mly_Sum,WGEN2.,OpTms_Mly_Sum,Time with generator g2 on grid in each Monthly period,seconds,Summation,Long,Monthly tag
WGEN2.SttTmp,WGEN2.,SttTmp,Generator temperature  generator g2,�C,Live Value,Double,Live Value
WGEN2.SttTmp_10m_Avg,WGEN2.,SttTmp_10m_Avg,Generator temperature  generator g2,�C,Average,Double,10 minute tag
WGEN2.SttTmp_10m_Max,WGEN2.,SttTmp_10m_Max,Generator temperature  generator g2,�C,Maximum,Double,10 minute tag
WGEN2.SttTmp_10m_Min,WGEN2.,SttTmp_10m_Min,Generator temperature  generator g2,�C,Minimum,Double,10 minute tag
WGEN2.SttTmp_10m_Std,WGEN2.,SttTmp_10m_Std,Generator temperature  generator g2,�C,Standard Deviation,Double,10 minute tag
WGEN2.SttTmp1,WGEN2.,SttTmp1,Generator stator phase L1 temperature  generator g2,�C,Live Value,Double,Live Value
WGEN2.SttTmp1_10m_Avg,WGEN2.,SttTmp1_10m_Avg,Generator stator phase L1 temperature  generator g2,�C,Average,Double,10 minute tag
WGEN2.SttTmp1_10m_Max,WGEN2.,SttTmp1_10m_Max,Generator stator phase L1 temperature  generator g2,�C,Maximum,Double,10 minute tag
WGEN2.SttTmp1_10m_Min,WGEN2.,SttTmp1_10m_Min,Generator stator phase L1 temperature  generator g2,�C,Minimum,Double,10 minute tag
WGEN2.SttTmp1_10m_Std,WGEN2.,SttTmp1_10m_Std,Generator stator phase L1 temperature  generator g2,�C,Standard Deviation,Double,10 minute tag
WGEN2.SttTmp2,WGEN2.,SttTmp2,Generator stator phase L2 temperature  generator g2,�C,Live Value,Double,Live Value
WGEN2.SttTmp2_10m_Avg,WGEN2.,SttTmp2_10m_Avg,Generator stator phase L2 temperature  generator g2,�C,Average,Double,10 minute tag
WGEN2.SttTmp2_10m_Max,WGEN2.,SttTmp2_10m_Max,Generator stator phase L2 temperature  generator g2,�C,Maximum,Double,10 minute tag
WGEN2.SttTmp2_10m_Min,WGEN2.,SttTmp2_10m_Min,Generator stator phase L2 temperature  generator g2,�C,Minimum,Double,10 minute tag
WGEN2.SttTmp2_10m_Std,WGEN2.,SttTmp2_10m_Std,Generator stator phase L2 temperature  generator g2,�C,Standard Deviation,Double,10 minute tag
WGEN2.SttTmp3,WGEN2.,SttTmp3,Generator stator phase L3 temperature  generator g2,�C,Live Value,Double,Live Value
WGEN2.SttTmp3_10m_Avg,WGEN2.,SttTmp3_10m_Avg,Generator stator phase L3 temperature  generator g2,�C,Average,Double,10 minute tag
WGEN2.SttTmp3_10m_Max,WGEN2.,SttTmp3_10m_Max,Generator stator phase L3 temperature  generator g2,�C,Maximum,Double,10 minute tag
WGEN2.SttTmp3_10m_Min,WGEN2.,SttTmp3_10m_Min,Generator stator phase L3 temperature  generator g2,�C,Minimum,Double,10 minute tag
WGEN2.SttTmp3_10m_Std,WGEN2.,SttTmp3_10m_Std,Generator stator phase L3 temperature  generator g2,�C,Standard Deviation,Double,10 minute tag
WGEN2.SupVArh,WGEN2.,SupVArh,Reactive energy supply by generator g2,VArh,Total Counter,Double,10 minute tag
WGEN2.SupVArh_10m_End,WGEN2.,SupVArh_10m_End,Reactive energy supply by generator g2,VArh,Total Counter,Double,10 minute tag
WGEN2.SupVArh_10m_Sum,WGEN2.,SupVArh_10m_Sum,Reactive energy supply by generator g2,VArh,Summation,Double,10 minute tag
WGEN2.SupVArh_Mly_Sum,WGEN2.,SupVArh_Mly_Sum,Reactive energy supply by generator g2,VArh,Summation,Double,Monthly tag
WGEN2.SupWh,WGEN2.,SupWh,Active (real) energy supply by generator g2,Wh,Total Counter,Double,Live Value
WGEN2.SupWh_10m_End,WGEN2.,SupWh_10m_End,Active (real) energy supply by generator g2,Wh,Total Counter,Double,10 minute tag
WGEN2.SupWh_10m_Sum,WGEN2.,SupWh_10m_Sum,Active (real) energy supply by generator g2,Wh,Summation,Double,10 minute tag
WGEN2.SupWh_Mly_Sum,WGEN2.,SupWh_Mly_Sum,Active (real) energy supply by generator g2,Wh,Summation,Double,Monthly tag
WGEN2.TotVArh,WGEN2.,TotVArh,Total (net) reactive energy production generator g2,VArh,Total Counter,Double,Live Value
WGEN2.TotVArh_10m_End,WGEN2.,TotVArh_10m_End,Total (net) reactive energy production generator g2,VArh,Total Counter,Double,10 minute tag
WGEN2.TotVArh_10m_Sum,WGEN2.,TotVArh_10m_Sum,Total (net) reactive energy production generator g2,VArh,Summation,Double,10 minute tag
WGEN2.TotVArh_Mly_Sum,WGEN2.,TotVArh_Mly_Sum,Total (net) reactive energy production generator g2,VArh,Summation,Double,Monthly tag
WGEN2.TotWh,WGEN2.,TotWh,Total (net) active energy production i.e. produced-consumed energy g2,Wh,Total Counter,Double,Live Value
WGEN2.TotWh_10m_End,WGEN2.,TotWh_10m_End,Total (net) active energy production i.e. produced-consumed energy g2,Wh,Total Counter,Double,10 minute tag
WGEN2.TotWh_10m_Sum,WGEN2.,TotWh_10m_Sum,Total (net) active energy production i.e. produced-consumed energy g2,Wh,Summation,Double,10 minute tag
WGEN2.TotWh_Mly_Sum,WGEN2.,TotWh_Mly_Sum,Total (net) active energy production i.e. produced-consumed energy g2,Wh,Summation,Double,Monthly tag
WMET.AirDen,WMET.,AirDen,Density of air,kg/m³,Live Value,Double,Live Value
WMET.AirDen_10m_Avg,WMET.,AirDen_10m_Avg,Density of air,kg/m³,Average,Double,10 minute tag
WMET.AirDen_10m_Max,WMET.,AirDen_10m_Max,Density of air,kg/m³,Maximum,Double,10 minute tag
WMET.AirDen_10m_Min,WMET.,AirDen_10m_Min,Density of air,kg/m³,Minimum,Double,10 minute tag
WMET.AirDen_10m_Std,WMET.,AirDen_10m_Std,Density of air,kg/m³,Standard Deviation,Double,10 minute tag
WMET.Alt,WMET.,Alt,Sensor altitude,m,,Double,
WMET.Ane1Par1_10m_End,WMET.,Ane1Par1_10m_End,"Parameter m/s/Hz, i.e. factor for calculating m/s from the Hz value from anemometer 1",m/s/Hz,Endvalue,Double,10 minute tag
WMET.Ane1Par2_10m_End,WMET.,Ane1Par2_10m_End,Parameter offset in m/s when calculating m/s from Hz value from anemometer 1,m/s,Endvalue,Double,10 minute tag
WMET.Ane1Par3_10m_End,WMET.,Ane1Par3_10m_End,Parameter Corrections factor (gain) anemometer1,Enum,Endvalue,Double,10 minute tag
WMET.Ane1Par4_10m_End,WMET.,Ane1Par4_10m_End,Parameter Corrections offset anemometer1,Enum,Endvalue,Double,10 minute tag
WMET.Ane2Par1_10m_End,WMET.,Ane2Par1_10m_End,"Parameter m/s/Hz, i.e. factor for calculating m/s from the Hz value from anemometer 2",m/s/Hz,Endvalue,Double,10 minute tag
WMET.Ane2Par2_10m_End,WMET.,Ane2Par2_10m_End,Parameter offset in m/s when calculating m/s from Hz value from anemometer 2,m/s,Endvalue,Double,10 minute tag
WMET.Ane2Par3_10m_End,WMET.,Ane2Par3_10m_End,Parameter Corrections factor (gain) anemometer2,Enum,Endvalue,Double,10 minute tag
WMET.Ane2Par4_10m_End,WMET.,Ane2Par4_10m_End,Parameter Corrections offset anemometer2,Enum,Endvalue,Double,10 minute tag
WMET.AneHtCnt,WMET.,AneHtCnt,Number of activations of the wind sensor heat,Count,Total Counter,Long,Live Value
WMET.AneHtCnt_10m_End,WMET.,AneHtCnt_10m_End,Number of activations of the wind sensor heat,Count,Total Counter,Long,10 minute tag
WMET.AneHtTms,WMET.,AneHtTms,Time the wind sensor heat has been activated,seconds,Total Counter,Long,Live Value
WMET.AneHtTms_10m_End,WMET.,AneHtTms_10m_End,Time the wind sensor heat has been activated,seconds,Total Counter,Long,10 minute tag
WMET.AneHz1_10m_Avg,WMET.,AneHz1_10m_Avg,Frequency from anemometer 1,Hz,Average,Double,10 minute tag
WMET.AneHz2_10m_Avg,WMET.,AneHz2_10m_Avg,Frequency from anemometer 2,Hz,Average,Double,10 minute tag
WMET.CloudCvr,WMET.,CloudCvr,Cloud cover level,,,Double,
WMET.DctInsol,WMET.,DctInsol,Direct normal insolation,,,Double,
WMET.DewPt,WMET.,DewPt,Dew point,C°,,Double,
WMET.DffInsol,WMET.,DffInsol,Diffuse insolation,,,Double,
WMET.DlDur,WMET.,DlDur,Daylight duration (time elapsed between sunrise and sunset),seconds,,Double,
WMET.EnvHum,WMET.,EnvHum,Humidity,percent,,Double,
WMET.EnvHum_10m_Avg,WMET.,EnvHum_10m_Avg,Humidity,percent,,Double,
WMET.EnvHum_10m_Max,WMET.,EnvHum_10m_Max,Humidity,percent,,Double,
WMET.EnvHum_10m_Min,WMET.,EnvHum_10m_Min,Humidity,percent,,Double,
WMET.EnvHum_10m_Std,WMET.,EnvHum_10m_Std,Humidity,percent,,Double,
WMET.EnvPres,WMET.,EnvPres,Barometric pressure,bar,Live Value,Double,Live Value
WMET.EnvPres_10m_Avg,WMET.,EnvPres_10m_Avg,Barometric pressure,bar,Average,Double,10 minute tag
WMET.EnvPres_10m_Max,WMET.,EnvPres_10m_Max,Barometric pressure,bar,Maximum,Double,10 minute tag
WMET.EnvPres_10m_Min,WMET.,EnvPres_10m_Min,Barometric pressure,bar,Minimum,Double,10 minute tag
WMET.EnvPres_10m_Std,WMET.,EnvPres_10m_Std,Barometric pressure,bar,Standard Deviation,Double,10 minute tag
WMET.EnvTmp,WMET.,EnvTmp,Ambient temperature,�C,Live Value,Double,Live Value
WMET.EnvTmp_10m_Avg,WMET.,EnvTmp_10m_Avg,Ambient temperature,�C,Average,Double,10 minute tag
WMET.EnvTmp_10m_Max,WMET.,EnvTmp_10m_Max,Ambient temperature,�C,Maximum,Double,10 minute tag
WMET.EnvTmp_10m_Min,WMET.,EnvTmp_10m_Min,Ambient temperature,�C,Minimum,Double,10 minute tag
WMET.EnvTmp_10m_Std,WMET.,EnvTmp_10m_Std,Ambient temperature,�C,Standard Deviation,Double,10 minute tag
WMET.HorInsol,WMET.,HorInsol,Total horizontal insolation,,,Double,
WMET.HorWdDir,WMET.,HorWdDir,"Wind direction primary windvane 0-360 degrees, 0 is north",Degrees,Live Value,Double,Live Value
WMET.HorWdDir_10m_Avg,WMET.,HorWdDir_10m_Avg,"Wind direction primary windvane 0-360 degrees, 0 is north",Degrees,Average,Double,10 minute tag
WMET.HorWdDir_10m_Max,WMET.,HorWdDir_10m_Max,"Wind direction primary windvane 0-360 degrees, 0 is north",Degrees,Maximum,Double,10 minute tag
WMET.HorWdDir_10m_Min,WMET.,HorWdDir_10m_Min,"Wind direction primary windvane 0-360 degrees, 0 is north",Degrees,Minimum,Double,10 minute tag
WMET.HorWdDir_10m_Std,WMET.,HorWdDir_10m_Std,"Wind direction primary windvane 0-360 degrees, 0 is north",Degrees,Standard Deviation,Double,10 minute tag
WMET.HorWdDir2,WMET.,HorWdDir2,"Wind direction seconday windvane 0-360 degrees, 0 is north",Degrees,Live Value,Double,Live Value
WMET.HorWdDir2_10m_Avg,WMET.,HorWdDir2_10m_Avg,"Wind direction seconday windvane 0-360 degrees, 0 is north",Degrees,Average,Double,10 minute tag
WMET.HorWdDir2_10m_Max,WMET.,HorWdDir2_10m_Max,"Wind direction seconday windvane 0-360 degrees, 0 is north",Degrees,Maximum,Double,10 minute tag
WMET.HorWdDir2_10m_Min,WMET.,HorWdDir2_10m_Min,"Wind direction seconday windvane 0-360 degrees, 0 is north",Degrees,Minimum,Double,10 minute tag
WMET.HorWdDir2_10m_Std,WMET.,HorWdDir2_10m_Std,"Wind direction seconday windvane 0-360 degrees, 0 is north",Degrees,Standard Deviation,Double,10 minute tag
WMET.HorWdDirRel,WMET.,HorWdDirRel,Relative Wind direction primary windvane,Degrees,Live Value,Double,Live Value
WMET.HorWdDirRel_10m_Avg,WMET.,HorWdDirRel_10m_Avg,Relative Wind direction primary windvane,Degrees,Average,Double,10 minute tag
WMET.HorWdDirRel_10m_Max,WMET.,HorWdDirRel_10m_Max,Relative Wind direction primary windvane,Degrees,Maximum,Double,10 minute tag
WMET.HorWdDirRel_10m_Min,WMET.,HorWdDirRel_10m_Min,Relative Wind direction primary windvane,Degrees,Minimum,Double,10 minute tag
WMET.HorWdDirRel_10m_Std,WMET.,HorWdDirRel_10m_Std,Relative Wind direction primary windvane,Degrees,Standard Deviation,Double,10 minute tag
WMET.HorWdDirRel2,WMET.,HorWdDirRel2,Relative Wind direction seconday windvane,Degrees,Live Value,Double,Live Value
WMET.HorWdDirRel2_10m_Avg,WMET.,HorWdDirRel2_10m_Avg,Relative Wind direction seconday windvane,Degrees,Average,Double,10 minute tag
WMET.HorWdDirRel2_10m_Max,WMET.,HorWdDirRel2_10m_Max,Relative Wind direction seconday windvane,Degrees,Maximum,Double,10 minute tag
WMET.HorWdDirRel2_10m_Min,WMET.,HorWdDirRel2_10m_Min,Relative Wind direction seconday windvane,Degrees,Minimum,Double,10 minute tag
WMET.HorWdDirRel2_10m_Std,WMET.,HorWdDirRel2_10m_Std,Relative Wind direction seconday windvane,Degrees,Standard Deviation,Double,10 minute tag
WMET.HorWdSpd,WMET.,HorWdSpd,Wind speed primary anemometer,m/s,Live Value,Double,Live Value
WMET.HorWdSpd_10m_Avg,WMET.,HorWdSpd_10m_Avg,Wind speed primary anemometer,m/s,Average,Double,10 minute tag
WMET.HorWdSpd_10m_Max,WMET.,HorWdSpd_10m_Max,Wind speed primary anemometer,m/s,Maximum,Double,10 minute tag
WMET.HorWdSpd_10m_Min,WMET.,HorWdSpd_10m_Min,Wind speed primary anemometer,m/s,Minimum,Double,10 minute tag
WMET.HorWdSpd_10m_Std,WMET.,HorWdSpd_10m_Std,Wind speed primary anemometer,m/s,Standard Deviation,Double,10 minute tag
WMET.HorWdSpd2,WMET.,HorWdSpd2,Wind speed secondary anemometer,m/s,Live Value,Double,Live Value
WMET.HorWdSpd2_10m_Avg,WMET.,HorWdSpd2_10m_Avg,Wind speed secondary anemometer,m/s,Average,Double,10 minute tag
WMET.HorWdSpd2_10m_Max,WMET.,HorWdSpd2_10m_Max,Wind speed secondary anemometer,m/s,Maximum,Double,10 minute tag
WMET.HorWdSpd2_10m_Min,WMET.,HorWdSpd2_10m_Min,Wind speed secondary anemometer,m/s,Minimum,Double,10 minute tag
WMET.HorWdSpd2_10m_Std,WMET.,HorWdSpd2_10m_Std,Wind speed secondary anemometer,m/s,Standard Deviation,Double,10 minute tag
WMET.HorWdSpdEst_10m_Avg,WMET.,HorWdSpdEst_10m_Avg,Estimate Horisontal Wind Speed,m/s,Average,Double,10 minute tag
WMET.Ice,WMET.,Ice,Thickness of ice,,,Double,
WMET.IceSt,WMET.,IceSt,Status of ice detection,Enum,Live Value,Long,Live Value
WMET.Ilum,WMET.,Ilum,Ambient brightness [Lux] (Illuminance),Lux,Live Value,Double,Live Value
WMET.Ilum_10m_Avg,WMET.,Ilum_10m_Avg,Average ambient brightness [Lux] (Illuminance),Lux,Average,Double,10 minute tag
WMET.RnFll,WMET.,RnFll,Rainfall,,,Double,
WMET.RnFll_10m_Avg,WMET.,RnFll_10m_Avg,Average precipitation [mm/min],,Average,Double,10 minute tag
WMET.RnFll_10m_Max,WMET.,RnFll_10m_Max,Maximum precipitation [mm/min],,Maximum,Double,10 minute tag
WMET.RnFll_10m_Min,WMET.,RnFll_10m_Min,Minimum precipitation [mm/min],,Minimum,Double,10 minute tag
WMET.RnFll_10m_Std,WMET.,RnFll_10m_Std,standard deviation precipitation [mm/min],,Standard Deviation,Double,10 minute tag
WMET.SnwCvr,WMET.,SnwCvr,Snow cover,,,Double,
WMET.SnwDen,WMET.,SnwDen,Density of snowfall,,,Double,
WMET.SnwEq,WMET.,SnwEq,Water equivalent of snowfall,,,Double,
WMET.SnwFll,WMET.,SnwFll,Snowfall,,,Double,
WMET.SnwTmp,WMET.,SnwTmp,Temperature of snowfall,C°,,Double,
WMET.VerWdDir,WMET.,VerWdDir,Vertical wind direction,°,,Double,
WMET.VerWdSpd,WMET.,VerWdSpd,Vertical wind speed,m/s,,Double,
WMET.WdGustSpd,WMET.,WdGustSpd,Wind gust speed,m/s,,Double,
WMET.WetBlbTmp,WMET.,WetBlbTmp,Wet bulb temperature,C°,,Double,
WMET.WtrTmp,WMET.,WtrTmp,Temperature of water,C°,,Double,
WNAC.AneSt,WNAC.,AneSt,Status of primary anemometer /secondary anemometer,Enum,Live Value,Long,Live Value
WNAC.BecBlbSt,WNAC.,BecBlbSt,"Aviation light status 0=ok, 1=fault",Enum,Live Value,Long,Live Value
WNAC.BecLevSpt,WNAC.,BecLevSpt,Setpoint bulb light level of beacon,,,Double,
WNAC.BecLumLev,WNAC.,BecLumLev,Value of luminosity level of beacon,,,Double,
WNAC.BecMod,WNAC.,BecMod,Set modus of beacon,Enum,,Long,
WNAC.ClWtrInTmp,WNAC.,ClWtrInTmp,Temperature of cooling water immediately before entering the heat exchanger,�C,Live Value,Double,Live Value
WNAC.ClWtrInTmp_10m_Avg,WNAC.,ClWtrInTmp_10m_Avg,Temperature of cooling water immediately before entering the heat exchanger,�C,Average,Double,10 minute tag
WNAC.ClWtrInTmp_10m_Max,WNAC.,ClWtrInTmp_10m_Max,Temperature of cooling water immediately before entering the heat exchanger,�C,Maximum,Double,10 minute tag
WNAC.ClWtrInTmp_10m_Min,WNAC.,ClWtrInTmp_10m_Min,Temperature of cooling water immediately before entering the heat exchanger,�C,Minimum,Double,10 minute tag
WNAC.ClWtrInTmp_10m_Std,WNAC.,ClWtrInTmp_10m_Std,Temperature of cooling water immediately before entering the heat exchanger,�C,Standard Deviation,Double,10 minute tag
WNAC.ClWtrOutTmp,WNAC.,ClWtrOutTmp,Temperature of cooling water immediately after exiting the heat exchanger,�C,Live Value,Double,Live Value
WNAC.ClWtrOutTmp_10m_Avg,WNAC.,ClWtrOutTmp_10m_Avg,Temperature of cooling water immediately after exiting the heat exchanger,�C,Average,Double,10 minute tag
WNAC.ClWtrOutTmp_10m_Max,WNAC.,ClWtrOutTmp_10m_Max,Temperature of cooling water immediately after exiting the heat exchanger,�C,Maximum,Double,10 minute tag
WNAC.ClWtrOutTmp_10m_Min,WNAC.,ClWtrOutTmp_10m_Min,Temperature of cooling water immediately after exiting the heat exchanger,�C,Minimum,Double,10 minute tag
WNAC.ClWtrOutTmp_10m_Std,WNAC.,ClWtrOutTmp_10m_Std,Temperature of cooling water immediately after exiting the heat exchanger,�C,Standard Deviation,Double,10 minute tag
WNAC.Dir,WNAC.,Dir,"Direction of the nacelle, 0-360 degrees 0 is north",Degrees,Live Value,Double,Live Value
WNAC.Dir_10m_Avg,WNAC.,Dir_10m_Avg,"Direction of the nacelle, 0-360 degrees 0 is north",Degrees,Average,Double,10 minute tag
WNAC.Dir_10m_Max,WNAC.,Dir_10m_Max,"Direction of the nacelle, 0-360 degrees 0 is north",Degrees,Maximum,Double,10 minute tag
WNAC.Dir_10m_Min,WNAC.,Dir_10m_Min,"Direction of the nacelle, 0-360 degrees 0 is north",Degrees,Minimum,Double,10 minute tag
WNAC.Dir_10m_Std,WNAC.,Dir_10m_Std,"Direction of the nacelle, 0-360 degrees 0 is north",Degrees,Standard Deviation,Double,10 minute tag
WNAC.FanCnt,WNAC.,FanCnt,Number of activations of the nacelle fan,Count,Total Counter,Long,Live Value
WNAC.FanCnt_10m_End,WNAC.,FanCnt_10m_End,Number of activations of the nacelle fan,Count,Total Counter,Long,10 minute tag
WNAC.FanTms,WNAC.,FanTms,Time the nacelle fan has been activated,seconds,Total Counter,Long,Live Value
WNAC.FanTms_10m_End,WNAC.,FanTms_10m_End,Time the nacelle fan has been activated,seconds,Total Counter,Long,10 minute tag
WNAC.FlshSpt,WNAC.,FlshSpt,Setpoint value of flash duty cycle of beacon,,,Double,
WNAC.HtCnt1_10m_End,WNAC.,HtCnt1_10m_End,Number of activations of the nacelle heat 1,Count,Total Counter,Long,10 minute tag
WNAC.HtCnt2_10m_End,WNAC.,HtCnt2_10m_End,Number of activations of the nacelle heat 2,Count,Total Counter,Long,10 minute tag
WNAC.HtexTmp1,WNAC.,HtexTmp1,Temperature of heat exchanger (lower),�C,Live Value,Double,Live Value
WNAC.HtexTmp1_10m_Avg,WNAC.,HtexTmp1_10m_Avg,Temperature of heat exchanger (lower),�C,Average,Double,10 minute tag
WNAC.HtexTmp1_10m_Max,WNAC.,HtexTmp1_10m_Max,Temperature of heat exchanger (lower),�C,Maximum,Double,10 minute tag
WNAC.HtexTmp1_10m_Min,WNAC.,HtexTmp1_10m_Min,Temperature of heat exchanger (lower),�C,Minimum,Double,10 minute tag
WNAC.HtexTmp1_10m_Std,WNAC.,HtexTmp1_10m_Std,Temperature of heat exchanger (lower),�C,Standard Deviation,Double,10 minute tag
WNAC.HtexTmp2,WNAC.,HtexTmp2,Temperature of heat exchanger (Upper),�C,Live Value,Double,Live Value
WNAC.HtexTmp2_10m_Avg,WNAC.,HtexTmp2_10m_Avg,Temperature of heat exchanger (Upper),�C,Average,Double,10 minute tag
WNAC.HtexTmp2_10m_Max,WNAC.,HtexTmp2_10m_Max,Temperature of heat exchanger (Upper),�C,Maximum,Double,10 minute tag
WNAC.HtexTmp2_10m_Min,WNAC.,HtexTmp2_10m_Min,Temperature of heat exchanger (Upper),�C,Minimum,Double,10 minute tag
WNAC.HtexTmp2_10m_Std,WNAC.,HtexTmp2_10m_Std,Temperature of heat exchanger (Upper),�C,Standard Deviation,Double,10 minute tag
WNAC.HtFanCnt_10m_End,WNAC.,HtFanCnt_10m_End,Number of activations of the nacelle heater fan,Count,Total Counter,Long,10 minute tag
WNAC.HtFanTms_10m_End,WNAC.,HtFanTms_10m_End,Time nacelle heater fan has been activated,seconds,Total Counter,Long,10 minute tag
WNAC.HtTms1_10m_End,WNAC.,HtTms1_10m_End,Time the nacelle heat 1 has been activated,seconds,Total Counter,Long,10 minute tag
WNAC.HtTms2_10m_End,WNAC.,HtTms2_10m_End,Time the nacelle heat 2 has been activated,seconds,Total Counter,Long,10 minute tag
WNAC.HyOilPmpCnt,WNAC.,HyOilPmpCnt,Number of activations of the hydraulic oil pump,Count,Total Counter,Long,Live Value
